year,state,district,dem,rep,other
1968,Indiana,7,78045,115921,15
1968,Indiana,8,91642,109585,0
1968,Indiana,9,102707,86012,0
1968,Indiana,10,83981,98090,0
1968,Indiana,11,80015,70725,0
1968,Iowa,1,81049,91419,1
1968,Iowa,2,103651,84634,4
1968,Iowa,3,57164,101839,0
1968,Iowa,4,71134,83259,0
1968,Iowa,5,99586,60710,0
1968,Iowa,6,54171,100802,0
1968,Iowa,7,46774,87212,0
1968,Kansas,1,82102,87012,2
1968,Kansas,2,53151,110768,0
1968,Kansas,3,59672,100877,0
1968,Kansas,4,55621,101991,1
1968,Kansas,5,59005,107085,0
1968,Kentucky,1,72072,0,0
1968,Kentucky,2,65860,50904,0
1968,Kentucky,3,55366,70318,0
1968,Kentucky,4,55971,103793,0
1968,Kentucky,5,30575,86391,1721
1968,Kentucky,6,78536,58905,1535
1968,Kentucky,7,82594,50699,0
1968,Louisiana,1,70658,0,0
1968,Louisiana,2,81537,77633,0
1968,Louisiana,3,39215,0,0
1968,Louisiana,4,63788,0,0
1968,Louisiana,5,34901,0,0
1968,Louisiana,6,100461,26267,0
1968,Louisiana,7,79709,14126,0
1968,Louisiana,8,41086,0,0
1968,Maine,1,113501,86949,0
1968,Maine,2,102369,81398,0
1968,Maryland,1,31250,87078,0
1968,Maryland,2,86025,59635,0
1968,Maryland,3,63269,14604,0
1968,Maryland,4,60651,31813,0
1968,Maryland,5,79870,89073,0
1968,Maryland,6,63597,71714,0
1968,Maryland,7,81048,20745,0
1968,Maryland,8,70109,109167,0
1968,Massachusetts,1,0,140419,264
1968,Massachusetts,2,126485,45262,2
1968,Massachusetts,3,91587,46860,53047
1968,Massachusetts,4,121211,77658,0
1968,Massachusetts,5,81875,124930,2
1968,Massachusetts,6,70304,136951,2
1968,Massachusetts,7,119562,71689,6
1968,Massachusetts,8,107645,0,5
1968,Massachusetts,9,77347,15906,0
1968,Massachusetts,10,66949,138220,4
1968,Massachusetts,11,169766,0,0
1968,Massachusetts,12,0,173295,0
1968,Michigan,1,127847,0,0
1968,Michigan,2,75009,90804,1271
1968,Michigan,3,58692,109754,0
1968,Michigan,4,52441,100128,0
1968,Michigan,5,62219,105085,156
1968,Michigan,6,57839,103423,0
1968,Michigan,7,67779,104502,0
1968,Michigan,8,47639,105238,0
1968,Michigan,9,53886,111774,0
1968,Michigan,10,54152,104791,0
1968,Michigan,11,66251,94513,0
1968,Michigan,12,131517,54760,690
1968,Michigan,13,81951,12873,0
1968,Michigan,14,101961,59757,0
1968,Michigan,15,106960,43582,0
1968,Michigan,16,105690,37000,369
1968,Michigan,17,123376,40906,0
1968,Michigan,18,82234,124025,0
1968,Michigan,19,75250,104057,0
1968,Minnesota,1,62916,138400,0
1968,Minnesota,2,68528,100693,0
1968,Minnesota,3,86434,158989,0
1968,Minnesota,4,129082,81392,0
1968,Minnesota,5,108588,78819,1299
1968,Minnesota,6,81578,104664,0
1968,Minnesota,7,79067,83113,0
1968,Minnesota,8,115343,55209,0
1968,Mississippi,1,73800,0,0
1968,Mississippi,2,71260,0,0
1968,Mississippi,3,82896,0,0
1968,Mississippi,4,78768,33683,0
1968,Mississippi,5,108297,0,0
1968,Missouri,1,79295,44316,0
1968,Missouri,2,115476,101500,0
1968,Missouri,3,106150,38439,0
1968,Missouri,4,104056,75790,0
1968,Missouri,5,86681,45951,0
1968,Missouri,6,102315,85237,0
1968,Missouri,7,70455,123958,0
1968,Missouri,8,117755,82455,994
1968,Missouri,9,108184,98923,0
1968,Missouri,10,78326,66830,0
1968,Montana,1,74974,64862,0
1968,Montana,2,39752,83888,0
1968,Nebraska,1,78374,97697,4551
1968,Nebraska,2,71254,87683,40
1968,Nebraska,3,58728,123838,6
1968,Nevada,1,104136,40209,0
1968,New Hampshire,1,57959,100269,3
1968,New Hampshire,2,35942,88609,1
1968,New Jersey,1,74703,105856,1885
1968,New Jersey,2,73361,91218,505
1968,New Jersey,3,113587,82441,615
1968,New Jersey,4,106504,92710,418
1968,New Jersey,5,63208,143963,3926
1968,New Jersey,6,71338,138060,749
1968,New Jersey,7,71123,120523,2186
1968,New Jersey,8,100653,62661,700
1968,New Jersey,9,97599,95267,2967
1968,New Jersey,10,89109,47989,2569
1968,New Jersey,11,91496,46426,1824
1968,New Jersey,12,58112,146264,0
1968,New Jersey,13,83151,52159,14411
1968,New Jersey,14,87187,50829,0
1968,New Jersey,15,107316,88043,0
1968,New Mexico,1,78117,88517,854
1968,New Mexico,2,69858,71857,649
1968,New York,1,118913,79208,22382
1968,New York,2,53552,129731,4689
1968,New York,3,98226,75910,14556
1968,New York,4,45130,116190,4369
1968,New York,5,99193,96427,0
1968,New York,6,49676,95016,20511
1968,New York,7,90204,45813,0
1968,New York,8,120257,37314,14714
1968,New York,9,69462,59690,10713
1968,New York,10,106622,44551,0
1968,New York,11,40460,10708,6908
1968,New York,12,34885,13777,3771
1968,New York,13,107960,25499,24896
1968,New York,14,42149,18396,5422
1968,New York,15,59707,31802,12186
1968,New York,16,73253,69126,7883
1968,New York,17,84627,70086,9030
1968,New York,18,37146,7215,1627
1968,New York,19,44843,27959,11389
1968,New York,20,66192,13968,3832
1968,New York,21,55129,8778,2824
1968,New York,22,45144,7087,7023
1968,New York,23,94108,36823,0
1968,New York,24,83234,46510,7758
1968,New York,25,125415,74275,14463
1968,New York,26,44084,130229,16877
1968,New York,27,88894,94689,14239
1968,New York,28,86827,91590,11813
1968,New York,29,87896,119039,2370
1968,New York,30,62897,124995,0
1968,New York,31,61947,88562,1081
1968,New York,32,43254,95793,10393
1968,New York,33,50549,110080,0
1968,New York,34,96520,82333,9270
1968,New York,35,112640,47849,1870
1968,New York,36,46008,138400,12325
1968,New York,37,50930,129697,1899
1968,New York,38,47093,90281,4947
1968,New York,39,120509,92589,7613
1968,New York,40,56201,106984,1949
1968,New York,41,96703,27920,0
1968,North Carolina,1,75796,38660,0
1968,North Carolina,2,92542,0,0
1968,North Carolina,3,57244,48815,0
1968,North Carolina,4,77871,73471,0
1968,North Carolina,5,77112,84905,0
1968,North Carolina,6,76028,65703,0
1968,North Carolina,7,77419,0,0
1968,North Carolina,8,67281,70480,0
1968,North Carolina,9,0,94510,0
1968,North Carolina,10,72295,87811,0
1968,North Carolina,11,91477,71041,0
1968,North Dakota,1,39692,84114,2166
1968,North Dakota,2,54655,55962,1526
1968,Ohio,1,49830,102219,0
1968,Ohio,2,52327,108157,0
1968,Ohio,3,32012,114549,0
1968,Ohio,4,0,129435,86
1968,Ohio,5,45884,113381,0
1968,Ohio,6,40964,107289,0
1968,Ohio,7,55386,97581,0
1968,Ohio,8,40898,101974,1
1968,Ohio,9,85280,63290,0
1968,Ohio,10,45686,102890,0
1968,Ohio,11,38063,116323,0
1968,Ohio,12,51202,106664,0
1968,Ohio,13,59864,97158,0
1968,Ohio,14,68889,84561,47
1968,Ohio,15,35861,98499,456
1968,Ohio,16,68916,101495,3
1968,Ohio,17,54127,100148,1
1968,Ohio,18,96711,63747,0
1968,Ohio,19,101813,44363,3
1968,Ohio,20,72918,27827,0
1968,Ohio,21,85509,28931,0
1968,Ohio,22,102656,84975,0
1968,Ohio,23,98825,106852,0
1968,Ohio,24,44400,105350,0
1968,Oklahoma,1,63451,92513,0
1968,Oklahoma,2,77192,63437,0
1968,Oklahoma,3,85981,39740,0
1968,Oklahoma,4,67352,58253,0
1968,Oklahoma,5,86420,30931,0
1968,Oklahoma,6,64599,79992,0
1968,Oregon,1,45479,189023,22
1968,Oregon,2,114232,64478,14
1968,Oregon,3,137746,59447,27
1968,Oregon,4,72579,104159,18
1968,Pennsylvania,1,113696,38432,0
1968,Pennsylvania,2,102869,44041,0
1968,Pennsylvania,3,75728,47813,0
1968,Pennsylvania,4,131810,88229,2214
1968,Pennsylvania,5,108243,48455,0
1968,Pennsylvania,6,94247,87090,1914
1968,Pennsylvania,7,79782,105699,1561
1968,Pennsylvania,8,60324,94254,8064
1968,Pennsylvania,9,56532,100399,2642
1968,Pennsylvania,10,61960,125916,1073
1968,Pennsylvania,11,128794,52475,2822
1968,Pennsylvania,12,55838,119522,1807
1968,Pennsylvania,13,84137,141764,2749
1968,Pennsylvania,14,96117,39671,2620
1968,Pennsylvania,15,106877,701333,4432
1968,Pennsylvania,16,39507,98877,5197
1968,Pennsylvania,17,57093,119003,3785
1968,Pennsylvania,18,68434,121664,4016
1968,Pennsylvania,19,65903,93352,2465
1968,Pennsylvania,20,109236,44037,2337
1968,Pennsylvania,21,93033,55099,0
1968,Pennsylvania,22,71297,98576,0
1968,Pennsylvania,23,54453,87968,0
1968,Pennsylvania,24,106869,66429,0
1968,Pennsylvania,25,105048,59576,0
1968,Pennsylvania,26,95898,50594,0
1968,Pennsylvania,27,62638,130784,0
1968,Rhode Island,1,97945,62394,1895
1968,Rhode Island,2,124044,78502,1
1968,South Carolina,1,95478,0,0
1968,South Carolina,2,47053,63877,5
1968,South Carolina,3,74104,35463,2490
1968,South Carolina,4,68437,43440,0
1968,South Carolina,5,72805,21246,3411
1968,South Carolina,6,58304,39876,1849
1968,South Dakota,1,61738,85232,0
1968,South Dakota,2,50683,73987,0
1968,Tennessee,1,17441,100712,4
1968,Tennessee,2,17547,97832,3394
1968,Tennessee,3,57565,76390,0
1968,Tennessee,4,74041,23553,0
1968,Tennessee,5,61045,52836,11413
1968,Tennessee,6,61223,41923,4
1968,Tennessee,7,80893,41457,4
1968,Tennessee,8,70644,0,10
1968,Tennessee,9,45434,73293,4764
1968,Texas,1,87038,0,0
1968,Texas,2,87565,0,0
1968,Texas,3,55939,81696,0
1968,Texas,4,95413,0,0
1968,Texas,5,79317,49821,0
1968,Texas,6,90889,0,0
1968,Texas,7,0,110455,0
1968,Texas,8,63256,26402,0
1968,Texas,9,71937,46829,0
1968,Texas,10,85037,51933,0
1968,Texas,11,78127,0,2807
1968,Texas,12,86069,0,0
1968,Texas,13,83839,66477,0
1968,Texas,14,89868,0,0
1968,Texas,15,57618,0,0
1968,Texas,16,62491,22510,0
1968,Texas,17,90856,0,0
1968,Texas,18,43568,81715,0
1968,Texas,19,79161,0,0
1968,Texas,20,64112,14569,0
1968,Texas,21,91784,59082,0
1968,Texas,22,101498,61278,0
1968,Texas,23,75026,0,0
1968,Utah,1,65265,139456,0
1968,Utah,2,80948,130127,0
1968,Vermont,1,0,156956,177
1968,Virginia,1,96265,0,35718
1968,Virginia,2,43229,51184,0
1968,Virginia,3,94118,62082,22
1968,Virginia,4,81723,0,32560
1968,Virginia,5,70681,34608,24197
1968,Virginia,6,0,91549,7792
1968,Virginia,7,64717,51349,2837
1968,Virginia,8,49731,92121,1
1968,Virginia,9,47906,71531,12
1968,Virginia,10,65474,97465,2
1968,Washington,1,76456,124513,1886
1968,Washington,2,102522,79800,0
1968,Washington,3,89777,68387,0
1968,Washington,4,49601,99840,0
1968,Washington,5,88446,67304,0
1968,Washington,6,93399,72177,1736
1968,Washington,7,123429,64051,757
1968,West Virginia,1,85436,73176,0
1968,West Virginia,2,91082,56911,0
1968,West Virginia,3,82911,54164,0
1968,West Virginia,4,94507,52636,0
1968,West Virginia,5,80204,41038,0
1968,Wisconsin,1,86067,89200,8
1968,Wisconsin,2,107804,72229,9
1968,Wisconsin,3,54517,95606,4
1968,Wisconsin,4,118203,44558,4
1968,Wisconsin,5,76607,35536,887
1968,Wisconsin,6,60059,111934,2947
1968,Wisconsin,7,56964,101808,0
1968,Wisconsin,8,52660,111859,5
1968,Wisconsin,9,73891,126392,5
1968,Wisconsin,10,57889,106266,0
1968,Wyoming,1,45950,77363,0
1970,Alabama,1,27457,63457,13798
1970,Alabama,2,25966,62316,13281
1970,Alabama,3,70015,0,8537
1970,Alabama,4,77701,13217,1903
1970,Alabama,5,78368,0,24863
1970,Alabama,6,31378,50060,1900
1970,Alabama,7,87797,0,0
1970,Alabama,8,76413,0,4846
1970,Alaska,1,44137,35947,0
1970,Arizona,1,45870,99706,0
1970,Arizona,2,86760,37561,1357
1970,Arizona,3,49626,81239,0
1970,Arkansas,1,0,0,0
1970,Arkansas,2,0,0,0
1970,Arkansas,3,57679,115532,0
1970,Arkansas,4,0,0,0
1970,California,1,62688,108358,0
1970,California,2,151070,37223,5681
1970,California,3,117496,69811,3554
1970,California,4,103485,48783,0
1970,California,5,76567,31570,0
1970,California,6,84255,96393,0
1970,California,7,89784,64691,2156
1970,California,8,104311,46872,0
1970,California,9,120041,49556,4009
1970,California,10,80530,135864,2651
1970,California,11,39188,144500,2786
1970,California,12,50942,95549,3682
1970,California,13,87980,127507,2339
1970,California,14,148655,50750,0
1970,California,15,98442,55546,1994
1970,California,16,95118,43843,4237
1970,California,17,83739,47778,3016
1970,California,18,48415,86071,1709
1970,California,19,98578,41462,0
1970,California,20,50033,116437,2100
1970,California,21,75127,4349,0
1970,California,22,95256,63297,1880
1970,California,23,44767,77346,0
1970,California,24,61777,124071,4876
1970,California,25,64386,116169,2994
1970,California,26,130499,47260,5316
1970,California,27,63652,139326,5948
1970,California,28,57882,154691,10730
1970,California,29,71308,42620,0
1970,California,30,63903,28038,1681
1970,California,31,102071,37416,0
1970,California,32,44278,119340,3227
1970,California,33,44764,116093,0
1970,California,34,101664,82167,2843
1970,California,35,87019,192765,7742
1970,California,36,44841,132446,7862
1970,California,37,93952,31968,4348
1970,California,38,85684,87479,2481
1970,Colorado,1,74444,84643,5257
1970,Colorado,2,72339,125274,0
1970,Colorado,3,87090,45610,4078
1970,Colorado,4,76244,62169,0
1970,Connecticut,1,88374,87209,5784
1970,Connecticut,2,81492,92846,4
1970,Connecticut,3,89042,69084,5076
1970,Connecticut,4,78699,104494,1428
1970,Connecticut,5,96947,78414,1731
1970,Connecticut,6,96969,92906,5
1970,Delaware,1,71429,86125,2759
1970,Florida,1,88744,21951,0
1970,Florida,2,0,0,0
1970,Florida,3,0,0,0
1970,Florida,4,75673,55311,0
1970,Florida,5,35398,110841,0
1970,Florida,6,78832,30252,0
1970,Florida,7,78535,68646,0
1970,Florida,8,58904,120466,0
1970,Florida,9,120565,50146,0
1970,Florida,10,68847,81170,0
1970,Florida,11,0,0,0
1970,Florida,12,75895,29935,0
1970,Georgia,1,70856,0,32
1970,Georgia,2,59994,5376,2
1970,Georgia,3,54588,0,0
1970,Georgia,4,45908,85848,7
1970,Georgia,5,58394,78540,26
1970,Georgia,6,92500,0,8
1970,Georgia,7,80149,30392,12
1970,Georgia,8,52446,0,1
1970,Georgia,9,64603,25476,3
1970,Georgia,10,74075,0,5
1970,Hawaii,1,85411,31764,0
1970,Hawaii,2,91038,0,0
1970,Idaho,1,55743,77515,0
1970,Idaho,2,31872,66428,2759
1970,Illinois,1,93272,9267,0
1970,Illinois,2,88252,29853,0
1970,Illinois,3,97693,44013,7
1970,Illinois,4,55328,117590,16
1970,Illinois,5,97278,44049,0
1970,Illinois,6,68182,53240,2
1970,Illinois,7,70112,10235,0
1970,Illinois,8,98453,34841,0
1970,Illinois,9,111955,35795,0
1970,Illinois,10,65170,107416,6
1970,Illinois,11,137090,53461,1
1970,Illinois,12,51499,84356,1
1970,Illinois,13,90364,124649,24
1970,Illinois,14,64231,122115,0
1970,Illinois,15,43014,95222,0
1970,Illinois,16,41459,83296,0
1970,Illinois,17,56340,92917,0
1970,Illinois,18,43601,84864,2
1970,Illinois,19,43094,92247,0
1970,Illinois,20,49727,103485,0
1970,Illinois,21,110374,66273,0
1970,Illinois,22,57781,83131,0
1970,Illinois,23,91158,77762,0
1970,Illinois,24,88637,30784,0
1970,Indiana,1,73145,38294,0
1970,Indiana,2,77959,79163,0
1970,Indiana,3,87064,64249,0
1970,Indiana,4,86582,80326,0
1970,Indiana,5,67740,86199,0
1970,Indiana,6,74599,115113,0
1970,Indiana,7,73042,97152,0
1970,Indiana,8,83911,93088,0
1970,Indiana,9,104599,62772,0
1970,Indiana,10,78871,81439,0
1970,Indiana,11,71329,50990,0
1970,Iowa,1,59505,60270,1168
1970,Iowa,2,84049,54932,0
1970,Iowa,3,45958,66087,0
1970,Iowa,4,49369,59396,0
1970,Iowa,5,73820,37374,2559
1970,Iowa,6,43257,57285,0
1970,Iowa,7,31552,53084,0
1970,Kansas,1,63791,83923,2
1970,Kansas,2,80161,68843,4145
1970,Kansas,3,64344,74603,1820
1970,Kansas,4,47004,85058,2452
1970,Kansas,5,94837,46688,0
1970,Kentucky,1,27829,0,0
1970,Kentucky,2,21024,0,0
1970,Kentucky,3,50102,49891,3265
1970,Kentucky,4,41659,83037,0
1970,Kentucky,5,11977,49266,0
1970,Kentucky,6,44322,23971,0
1970,Kentucky,7,50672,16648,0
1970,Louisiana,1,66284,0,9602
1970,Louisiana,2,51812,19703,3279
1970,Louisiana,3,48677,0,0
1970,Louisiana,4,44848,0,0
1970,Louisiana,5,31087,0,0
1970,Louisiana,6,36632,0,0
1970,Louisiana,7,24517,0,0
1970,Louisiana,8,26607,0,0
1970,Maine,1,99483,68671,0
1970,Maine,2,96235,53642,0
1970,Maryland,1,24923,79594,822
1970,Maryland,2,87224,40177,0
1970,Maryland,3,52374,0,0
1970,Maryland,4,54936,23491,0
1970,Maryland,5,52979,84314,0
1970,Maryland,6,59267,55511,1873
1970,Maryland,7,60390,42566,0
1970,Maryland,8,60453,104647,0
1970,Massachusetts,1,0,117045,34
1970,Massachusetts,2,111430,0,18
1970,Massachusetts,3,63942,60575,45283
1970,Massachusetts,4,95016,79870,4
1970,Massachusetts,5,67646,116666,2
1970,Massachusetts,6,114276,70955,0
1970,Massachusetts,7,107770,52290,13
1970,Massachusetts,8,89875,0,4
1970,Massachusetts,9,50269,17324,17395
1970,Massachusetts,10,77497,102895,6
1970,Massachusetts,11,143026,0,0
1970,Massachusetts,12,98910,100432,0
1970,Michigan,1,93075,11876,620
1970,Michigan,2,52782,88071,0
1970,Michigan,3,62530,80447,3
1970,Michigan,4,45838,74471,0
1970,Michigan,5,55337,88208,207
1970,Michigan,6,55591,84276,1
1970,Michigan,7,41235,97683,2194
1970,Michigan,8,44400,85634,0
1970,Michigan,9,51223,94027,813
1970,Michigan,10,57031,82528,10
1970,Michigan,11,53146,85323,1
1970,Michigan,12,129287,38946,1563
1970,Michigan,13,56872,9141,3
1970,Michigan,14,91111,38956,7
1970,Michigan,15,101018,25340,0
1970,Michigan,16,90540,23867,3
1970,Michigan,17,108176,27608,0
1970,Michigan,18,62081,113309,0
1970,Michigan,19,63175,91763,0
1970,Minnesota,1,53995,121802,0
1970,Minnesota,2,54498,94080,0
1970,Minnesota,3,108141,110921,0
1970,Minnesota,4,131263,45680,0
1970,Minnesota,5,83207,61682,783
1970,Minnesota,6,81004,88753,1625
1970,Minnesota,7,79378,67296,0
1970,Minnesota,8,118149,38369,0
1970,Mississippi,1,42367,0,0
1970,Mississippi,2,51689,0,8092
1970,Mississippi,3,50527,28847,0
1970,Mississippi,4,66064,0,0
1970,Mississippi,5,58546,0,6225
1970,Missouri,1,58082,0,6078
1970,Missouri,2,93294,66503,2206
1970,Missouri,3,73021,24651,0
1970,Missouri,4,80153,53204,0
1970,Missouri,5,51668,31806,778
1970,Missouri,6,74496,63789,686
1970,Missouri,7,0,92965,0
1970,Missouri,8,97560,53181,879
1970,Missouri,9,100988,58103,1197
1970,Missouri,10,62764,49355,0
1970,Montana,1,63175,64388,0
1970,Montana,2,78082,43752,0
1970,Nebraska,1,36240,79131,40934
1970,Nebraska,2,64620,69671,96
1970,Nebraska,3,63698,93705,4
1970,Nevada,1,113496,24147,0
1970,New Hampshire,1,34882,72170,13
1970,New Hampshire,2,32374,74219,4
1970,New Jersey,1,52567,83726,460
1970,New Jersey,2,64882,69392,0
1970,New Jersey,3,87973,68675,2831
1970,New Jersey,4,91670,65030,393
1970,New Jersey,5,53436,111553,2953
1970,New Jersey,6,72347,88051,3742
1970,New Jersey,7,63928,90410,0
1970,New Jersey,8,75056,48011,0
1970,New Jersey,9,91589,68974,1241
1970,New Jersey,10,71003,30460,0
1970,New Jersey,11,68075,31369,0
1970,New Jersey,12,55930,109537,0
1970,New Jersey,13,77789,27929,3675
1970,New Jersey,14,77771,31161,0
1970,New Jersey,15,94772,60450,0
1970,New Mexico,1,64598,91187,2583
1970,New Mexico,2,64518,61074,1398
1970,New York,1,108746,99503,0
1970,New York,2,54996,107433,0
1970,New York,3,94414,66196,12925
1970,New York,4,56411,91787,12701
1970,New York,5,84738,93824,5342
1970,New York,6,0,89250,26244
1970,New York,7,112983,0,11515
1970,New York,8,93666,55406,0
1970,New York,9,102205,0,9025
1970,New York,10,78324,29012,0
1970,New York,11,60919,0,16618
1970,New York,12,31500,5816,1204
1970,New York,13,102247,20550,9925
1970,New York,14,31586,15222,10452
1970,New York,15,50767,17931,9813
1970,New York,16,71553,62597,4415
1970,New York,17,98300,50647,9586
1970,New York,18,52651,0,8034
1970,New York,19,46947,38460,4426
1970,New York,20,73779,13527,6315
1970,New York,21,38866,0,7561
1970,New York,22,50372,19994,0
1970,New York,23,78723,16172,8456
1970,New York,24,106942,38173,7970
1970,New York,25,66688,76611,36947
1970,New York,26,25909,109783,29702
1970,New York,27,89787,82191,0
1970,New York,28,41908,119954,7606
1970,New York,29,128017,65339,0
1970,New York,30,71832,95470,0
1970,New York,31,34568,90585,0
1970,New York,32,47306,90884,0
1970,New York,33,45373,90196,0
1970,New York,34,60452,88786,0
1970,New York,35,82425,76381,0
1970,New York,36,38898,123209,12607
1970,New York,37,48061,107677,7729
1970,New York,38,37961,94906,0
1970,New York,39,90949,96989,0
1970,New York,40,50418,87183,0
1970,New York,41,79151,20108,0
1970,North Carolina,1,41674,16217,1452
1970,North Carolina,2,38891,0,0
1970,North Carolina,3,41065,27224,0
1970,North Carolina,4,49866,45386,0
1970,North Carolina,5,49663,68937,0
1970,North Carolina,6,47693,20739,3849
1970,North Carolina,7,37377,14529,0
1970,North Carolina,8,40563,51873,0
1970,North Carolina,9,28801,57525,0
1970,North Carolina,10,48113,63936,0
1970,North Carolina,11,90199,44376,0
1970,North Dakota,1,37688,72168,0
1970,North Dakota,2,50416,49888,0
1970,Ohio,1,39820,89169,0
1970,Ohio,2,60860,77071,0
1970,Ohio,3,26735,86973,3545
1970,Ohio,4,45619,82521,0
1970,Ohio,5,37545,92577,0
1970,Ohio,6,39265,82772,0
1970,Ohio,7,37294,84448,0
1970,Ohio,8,0,90916,0
1970,Ohio,9,82777,33947,0
1970,Ohio,10,40669,80838,0
1970,Ohio,11,42542,91437,0
1970,Ohio,12,60538,82486,0
1970,Ohio,13,53271,85858,0
1970,Ohio,14,71282,55038,0
1970,Ohio,15,34018,81536,0
1970,Ohio,16,63187,81208,0
1970,Ohio,17,44066,79472,4253
1970,Ohio,18,82071,38104,0
1970,Ohio,19,73222,52057,0
1970,Ohio,20,70140,16118,0
1970,Ohio,21,74340,21440,0
1970,Ohio,22,114790,45657,0
1970,Ohio,23,73765,111218,0
1970,Ohio,24,55455,63344,0
1970,Oklahoma,1,53598,67386,0
1970,Oklahoma,2,87131,35989,0
1970,Oklahoma,3,0,0,0
1970,Oklahoma,4,67743,37081,1534
1970,Oklahoma,5,62034,22801,0
1970,Oklahoma,6,45742,81959,0
1970,Oregon,1,57837,147239,18
1970,Oregon,2,100943,40620,153
1970,Oregon,3,118919,42391,84
1970,Oregon,4,60299,84474,13
1970,Pennsylvania,1,79425,34649,677
1970,Pennsylvania,2,70530,32858,0
1970,Pennsylvania,3,54755,42393,0
1970,Pennsylvania,4,113920,77817,0
1970,Pennsylvania,5,80142,38955,724
1970,Pennsylvania,6,96453,48397,3469
1970,Pennsylvania,7,62722,91042,0
1970,Pennsylvania,8,51464,73041,5118
1970,Pennsylvania,9,52852,76535,0
